t,obs0,obs1,act0,act1,act2,rew,rep,crab_pop
34,-1.0,-1.0,-1.0,-0.8055558,-1.0,-0.7656957549540656,0,"[7.08922293e+03 3.38794409e+03 7.80297357e-01 2.00000001e+00
 2.50000000e+01 1.68000000e+02 6.61000000e+02 1.38800000e+03
 1.59700000e+03 1.08300000e+03 4.67000000e+02 1.90000000e+02
 1.54000000e+02 1.31000000e+02 9.70000000e+01 5.30000000e+01
 2.50000000e+01 1.10000000e+01 4.00000000e+00 0.00000000e+00
 0.00000000e+00]"
35,-0.97428566,-0.7202553,-1.0,-0.6329514,-1.0,-0.7777037254049881,0,"[684.5477136583712 5082.936605189307 3976.448547374864 722.5178174498349
 15.258161999201313 58.162398644312304 289.8069581088007 835.5497047281634
 1387.9602218358536 1363.6034868582697 832.2848238067899 360.7075993683266
 180.39336277758255 137.62597882510192 106.19296532593903
 66.94465325360778 33.725927901477675 14.474301304745232 5.423045076662576
 0.9503387949325482 0.012326770176158686]"
36,-0.97362745,-0.6762149,-1.0,-0.49478397,-1.0,-0.7967496519171989,0,"[67.62807046515455 1021.3901198417661 4031.1841496301595 3763.070143971793
 1164.4113607009942 132.55852804475236 114.08388213634316
 410.89740351804323 889.3717503228165 1174.9678716647293 996.6980740078492
 553.096236066536 251.55003038705112 142.68051020728998 100.62030379832761
 67.51191496189358 37.92575121650815 16.460435215797094 6.37479041158085
 1.181440542450028 0.015405666896068926]"
37,-0.97751456,-0.6380095,-1.0,1.0,-1.0,-0.8213793699719274,0,"[7.062774590579188 163.54230978831134 1235.8541800394967
 3465.6194229863004 3390.3019034793642 1340.0087656542971
 258.5115420184402 188.36782155471573 472.74421554558234 808.6392186893095
 903.0532254982032 667.2986831597118 343.8611861545386 162.5784523530429
 99.12094333590724 65.03241544422427 36.13354164928901 17.25103709098878
 7.676704610611309 2.0942971436335567 0.2132393247246297]"
38,-0.98425335,-0.6246181,-1.0,-0.6280768,-1.0,-0.9023740667347088,0,"[0.7886508929497054 24.584584766877747 282.1795435871041
 1414.0403157721908 3143.0510525524396 2963.2412595331552
 1242.145684669758 271.4072059381187 143.2029523586386 246.2249503358385
 365.682515339333 336.46287111024634 214.5226778221634 106.15809978256729
 56.193504902523536 34.868012445369175 18.399284979501275
 6.911051334870542 2.5809923426082997 1.1483112565606786
 0.20091441878801664]"
39,-0.98569596,-0.70594174,-1.0,-0.7353817,-1.0,-0.9188843803245645,0,"[0.01656742120207617 2.9709853991691655 55.24615563108886
 424.0903125831093 1590.8384914182627 2907.6853895850577
 2563.6189244027546 1090.4950464414226 279.11549899166454
 168.93102809151284 260.89026991694124 302.48930540903393
 234.60073298016374 134.50130507642774 67.55129838441825 36.87729351938876
 20.49510511068588 9.10462113351306 3.1216218352495195 1.1569562575906538
 0.20091814656582574]"
40,-0.9800971,-0.73021334,-1.0,-0.57346857,-1.0,-0.9323000128264725,0,"[0.001446626809776245 0.2908680461021515 9.563488382766288
 109.50690063550685 602.0084409562938 1752.2294185899439
 2684.4158203130714 2118.78008209914 881.5409437356635 271.4288614467503
 192.7070543179137 249.76896958168624 242.63741099134074
 163.63470201344535 87.6486924945885 44.17381165935234 21.34848532540773
 8.942621859565852 3.782090347092259 1.3837243025277748
 0.20399517926764787]"
41,-0.97399175,-0.7602575,-1.0,-1.0,-1.0,-0.9531702425440804,0,"[1.5589648559092648e-06 0.008486262885353363 1.2860397844288025
 24.4165959664789 192.76463712843673 800.4003924225408 1830.8755619456929
 2283.222949818564 1574.2040718841877 645.4619418339904 234.468545632632
 192.41111881998268 209.74923575119868 167.77917976627978
 101.50799157064425 54.405145134150125 25.837791353601002
 10.440129227654214 3.2701908791689496 0.4838240012919377
 0.006167112976617206]"
42,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9614365775073338,0,"[1.948871256055169e-07 0.0010642093278194528 0.17579050396897833
 4.927396220682623 54.60934270446363 314.3296394896217 1020.2918109348831
 1902.180955578433 2054.8965759978164 1304.9617372967887 535.1554900743182
 236.32150925569607 207.66635755605904 190.0710219751876 132.5743712265968
 72.11681411259691 33.85944150847414 14.371249988455466 4.756610668208931
 0.7235675497396814 0.009249737437426964]"
43,-1.0,-1.0,-1.0,-0.8055558,-1.0,-0.9790300890003979,0,"[7.18381646e+03 3.43315040e+03 7.90709088e-01 1.00000001e+00
 2.60000000e+01 1.67000000e+02 6.16000000e+02 1.34100000e+03
 1.51500000e+03 1.01600000e+03 4.34000000e+02 2.00000000e+02
 1.81000000e+02 1.58000000e+02 1.11000000e+02 5.90000000e+01
 2.60000000e+01 1.30000000e+01 4.00000000e+00 0.00000000e+00
 0.00000000e+00]"
