"","growth_k","growth_xinf","growth_sd","growth_A","growth_ds","mort_alpha","mort_beta","trapm_pmax","trapm_sigma","trapm_xmax","trapf_pmax","trapf_k","trapf_midpoint","init_mean_recruit","init_sd_recruit","init_mean_adult","init_sd_adult"
"59",1.21346463870527,80.4676377595884,2.82476434088178,1.58436336789516,0.253295227030626,6.75691257459607,0.00610291629407594,0.000430523594189288,6.06366564132986,44.5484449712546,0.000206075723932525,0.360361794507551,33.0095490008647,11.0586858846333,4.45510944157216,3.79330142059267,0.215257855210954
"60",1.13639318105172,80.6506151029534,2.67684590637698,1.70362045053249,0.213167491131616,14.9115783666723,0.000758281499263407,0.000374005296587367,6.49519368226422,46.0152805440256,0.000195366172194758,0.680670256622487,33.6357871388756,14.0181872733601,4.5824444651662,3.81316136551903,0.235685453039638
"61",1.22008593283609,80.686388046604,2.67894837523805,1.74340871312259,0.229393458359041,1.92747191860001,0.00366399929344357,0.000279415396220869,6.74865040086533,45.6552099607208,0.000186158978062434,0.26709973962274,40.3807232562746,9.45292164842444,5.59347645113164,3.74672016398097,0.249609359039228
"62",1.23364503784416,79.6189622504909,2.96058535649887,1.55235078776233,0.227090887279765,21.8772537354258,0.00247481768964193,0.00049473629403578,6.28312439135678,44.9039813278299,0.000172906558187194,0.620136520561786,31.8533184212959,10.2298712675043,5.39926097450172,3.77356110068071,0.22689432093501
"63",1.20942103948963,80.0355218619214,2.88013847307547,1.72152180757027,0.228503587380656,3.36301287936583,0.00196694613123963,0.000308020904657572,6.44613133844215,45.7509634118278,0.000173652507722627,0.444478853554802,37.8015490742768,11.261578625564,3.74692649165357,3.78913457705707,0.208353854410033
"64",1.08124386008294,81.0697229987347,2.57747905203955,1.33445072539297,0.296307361278279,0.502221294128563,0.000150278069366607,0.000361837797429529,6.88495560619516,44.5124176673083,0.000187578594799763,0.570733048729043,34.5947292551966,15.1529595695655,3.76965192071504,3.87073571733637,0.184292870261295
"65",1.25386112589364,80.3638837673079,3.00122943899252,1.42836834905009,0.223434434020308,33.1238200071166,5.81776762203124e-06,0.000421348836375734,6.61434188962928,44.7628472649131,0.000188924581285371,0.469402147561458,35.5818036535108,8.47905078801595,4.55347048150059,3.79189191092264,0.210808756596327
"66",1.18832167220393,80.6129038017812,2.82141642102208,1.71942225756576,0.238675698133207,7.29415133439292,0.0033386967401969,0.000323702660545142,6.25971008941275,46.0274241411927,0.000169879172466526,0.400917818286609,37.3395893106578,7.8005611554433,5.42408089594387,3.76012649628064,0.230187240754264
"67",1.316511386467,80.11723757216,2.99094069749065,1.54237555943869,0.263921484797874,5.12121447393478,0.000860894805606601,0.000427075008427379,6.87108574555395,45.3987631649504,0.000203300239899946,0.43844731912758,35.5596395304599,7.16801085649434,6.18785252807359,3.78246631143375,0.217384496369898
"68",1.18716154162026,80.5835501028268,2.79782920340898,1.48231812601605,0.266554786001723,5.43051195711697,0.00337494202821085,0.000375707625010168,6.7758634293264,43.9972768025045,0.000168963126804679,0.472382677186909,35.3073020687695,9.81772849049048,4.45684331977961,3.83598424723109,0.195652451404146
