t,rep,td3Agent_rew,ppoAgent_rew,tqcAgent_rew,recurrentPPOAgent_rew,constantAgent_rew
99,1,-4.641787219123017,-4.338434620214541,-3.100696360027586,-1.4808615533539304,-6.048833489669784
0,2,0.0,0.0,0.0,0.0,0.0
1,2,-0.0086179837155323,-0.015881645774288,-0.0258360791938264,-0.2427301626626437,-0.0244827559988608
2,2,-0.0484137338895296,-0.0288583655169691,-0.0466721911642662,-0.5075839500273915,-0.1900031649535701
3,2,-0.075024802131569,-0.0442259866176486,-0.0685525316122866,-0.780242439155407,-0.474178591313051
4,2,-0.0815345082260904,-0.0524116070785995,-0.088564982818258,-1.0567415513619118,-0.7597488471991987
5,2,-0.1028699793440348,-0.0699408615993911,-0.1070904281586306,-1.3763556154115553,-1.045332993985327
6,2,-0.1079712820111358,-0.0816270895649509,-0.124358716445202,-1.4775900674821705,-1.330917145401871
7,2,-0.1234263471394907,-0.1009279058519489,-0.1420804779574595,-1.560226526841228,-1.6164907967854585
8,2,-0.1600222605147297,-0.1244719236511258,-0.1668272906355267,-1.5766747937517518,-1.900543537785516
9,2,-0.1699661537716772,-0.2054229933490371,-0.1955351338484934,-1.5902523058647202,-2.158970313904357
10,2,-0.1889515679165362,-0.2200326472802091,-0.2276864587792675,-1.6153538286237894,-2.258856221853121
11,2,-0.2283586895830349,-0.2334201673352086,-0.2485859407631345,-1.622544681184748,-2.2890895110342364
12,2,-0.2778689483804216,-0.2516156563205283,-0.2705522745972773,-1.63879257012088,-2.3111949406608474
13,2,-0.2846479226082978,-0.2605333869170557,-0.2907616194087506,-1.6568654150125632,-2.3322064602996218
14,2,-0.3084286966809468,-0.2800436577128898,-0.3101188579947198,-1.7096793352047703,-2.3529816423781145
15,2,-0.3159236990018021,-0.2923642287969599,-0.3278194901356354,-1.709884409435878,-2.3736843633118103
16,2,-0.3344978351463614,-0.3170435641989231,-0.3461789364172183,-1.7100628902384076,-2.394359342263225
