t,obs0,obs1,act0,act1,act2,rew,rep,crab_pop,nonlocal_crab
36,-0.9756459,-0.472681,-1.0,-1.0,-0.8970740572523334,-2.954015523453332,0,"[554.1570946407467 4114.75390945654 3219.023919341454 584.5798811678509
 6.852174758118861 0.003141799776636373 0.03050037781200449
 1.6498077365541248 9.720809875526836 28.518023464211538
 47.935729935804304 53.90250288781421 48.917091814387675 29.5263977836641
 12.55505390867335 4.533634122922749 1.3898493552250897 0.3145809239132128
 0.005998473164966933 3.200723850960152e-06 3.6909586498268254e-11]",[ 6907.15466297 70036.95718038     0.          8001.69962532]
37,-0.98575026,-0.48093984,-1.0,-1.0,-0.8970740572523334,-2.974680721367338,0,"[53.66330264368253 817.6581447090132 3248.7518474989984 3036.910700867823
 944.7986601918157 93.54063269629408 1.4226977593710757 0.3550292855486975
 2.871706472247807 11.180627816914294 20.83704475226014 25.007849002128648
 24.51101238368274 17.38485196916101 8.216250344376705 2.900164242991453
 0.7178718100672046 0.016449474108805817 1.0857765706417943e-05
 1.560342965944983e-10 0.0]",[ 6907.15466297 70036.95718038     0.          8001.69962532]
38,-0.9913206,-0.5230866,-1.0,-1.0,-0.8970740572523334,-2.995366708553695,0,"[5.379524184161406 128.82131419836415 993.3849892051261 2811.4028237321822
 2754.2929009338714 1084.6204168496436 176.45466002778014
 10.503346838325688 0.865619280328268 3.210470915067382 6.434620384401107
 8.053377442086612 11.040313626209832 12.00701385402255 5.580185312434355
 0.9018143509055886 0.02238502143064991 1.819274621306377e-05
 3.25694804459431e-10 2.220446049250313e-16 0.0]",[ 6907.15466297 70036.95718038     0.          8001.69962532]
39,-0.99442965,-0.68086994,-1.0,-1.0,-0.8970740572523334,-3.0161072984201236,0,"[0.5724727977982494 19.161110226872704 225.8981144170143
 1140.6258923545486 2550.8447195349077 2447.6177930058693
 1072.1897509137268 218.7342686358614 18.841401405564422
 1.3196625011510783 2.0341985867551897 2.6840863494239424
 4.843072403044483 7.672800807644928 4.436540031827899 0.5104285415867961
 0.011252711562714901 9.097715796602124e-06 1.6284784631892535e-10
 1.1102230246251565e-16 0.0]",[ 6907.15466297 70036.95718038     0.          8001.69962532]
40,-0.9874343,-0.830546,-1.0,-1.0,-0.8970740572523334,-3.0369500268101035,0,"[0.013684690313214152 2.446473069890322 44.5435136376343 339.0186637027522
 1280.5121023417696 2371.329111442925 2128.3047715499515 946.8966861847134
 207.5130990263741 19.796121353365148 1.0776587563567817
 1.0195183789338476 1.1280616538230623 2.17296288626172 2.407982377274516
 0.7972890694151097 0.022279659869260393 1.8190396500528117e-05
 3.2569402730331376e-10 2.220446049250313e-16 0.0]",[ 6907.15466297 70036.95718038     0.          8001.69962532]
41,-0.9589349,-0.84354174,-1.0,-1.0,-0.8970740572523334,-3.057942194061488,0,"[0.0014446781875700403 0.280277612859279 8.032182027159328
 88.18561821354581 483.3528598020668 1419.064850532122 2203.231732410231
 1760.0542518033053 697.0632338957946 130.79922454438915
 12.921035197390701 0.9789959721337395 0.10208801648737613
 1.1558495594661347 1.971694748535692 0.7823779736827434
 0.02226460880330583 1.8190060827594223e-05 3.256939162810113e-10
 2.220446049250313e-16 0.0]",[ 6907.15466297 70036.95718038     0.          8001.69962532]
42,-0.92084926,-0.81524014,-1.0,-1.0,-0.8970740572523334,-3.079059824894288,0,"[1.5589343600441316e-06 0.008479937460010665 1.2583417786974227
 21.166208529551536 157.53923084975835 649.8147139207188 1518.124132517655
 1931.3328855729212 1249.9816937708363 388.3113562287695 64.22075109144221
 5.101718197261091 0.1402322041188423 0.000253830962489654
 1.0907232450563242e-08 9.769962616701378e-15 0.0 0.0 0.0 0.0 0.0]",[ 6907.15466297 70036.95718038     0.          8001.69962532]
43,-0.8821159,-0.7914834,-1.0,-1.0,-0.8970740572523334,-3.1001806361940707,0,"[1.9488204295624554e-07 0.0010631550476060527 0.17116707554251484
 4.360564458125892 46.17471497216254 255.58528589567476 819.6304407169727
 1487.2915462238127 1405.7715187861047 668.8470322567448
 173.52618265767003 29.340725972534937 2.2457618766186918
 0.053916202666171364 7.955269219284133e-05 2.747169158823226e-09
 1.9984014443252818e-15 0.0 0.0 0.0 0.0]",[ 6907.15466297 70036.95718038     0.          8001.69962532]
44,-0.86695933,-0.76856107,-1.0,-1.0,-0.8970740572523334,-3.121198736532561,0,"[7.66457040e+03 3.66290301e+03 8.43624764e-01 1.00000001e+00
 1.90000000e+01 1.47000000e+02 5.20000000e+02 1.03800000e+03
 1.03500000e+03 5.08000000e+02 1.32000000e+02 2.70000000e+01
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00]","[ 6907.15466297 70036.95718038     0.          8001.69962532
  7505.7189753 ]"
45,-0.8946816,-0.7648677,-1.0,-1.0,-0.8970740572523334,-3.1420378514553198,0,"[740.1042668708704 5495.457795557772 4299.167543033309 780.9442900475776
 14.019540364066888 48.549778189059914 236.2370719929639 611.8372975841868
 835.1970881059311 581.5519493936843 229.6513080994015 54.85750748905997
 11.548952364669308 0.49391393858820487 0.0007549639110328021
 2.609740235026692e-08 1.8984813721090177e-14 0.0 0.0 0.0 0.0]","[ 6907.15466297 70036.95718038     0.          8001.69962532
  7505.7189753 ]"
